"id","submitdate","Q16_2","j_reluuring_submitdate","j_reluuring_Q6","j_reluuring_Q13_2"
1209,2014-05-20,5,2014-06-05,1,5
1210,2014-05-20,10,2014-06-05,2,9
1211,2014-05-20,4,2014-06-09,1,0
1213,2014-05-20,3,2014-06-09,3,5
1214,2014-05-20,9,2014-06-09,3,9
1215,2014-05-20,9,2014-06-05,1,10
1216,2014-05-20,6,2014-06-06,2,7
1217,2014-05-20,10,NA,NA,NA
1218,2014-05-20,6,NA,NA,NA
1219,2014-05-20,97,2014-06-05,1,97
1220,2014-05-20,7,2014-06-09,3,8
1221,2014-05-20,9,2014-06-09,3,9
1222,2014-05-20,7,2014-06-11,2,6
1223,2014-05-20,5,2014-06-04,1,0
1224,2014-05-20,8,2014-06-05,2,8
1225,2014-05-20,6,2014-06-05,NA,5
1226,2014-05-20,8,NA,NA,NA
1227,2014-05-20,97,2014-06-06,NA,97
1228,2014-05-20,8,NA,NA,NA
1229,2014-05-20,8,NA,NA,NA
1230,2014-05-20,10,2014-06-09,3,10
1231,2014-05-20,9,2014-06-06,3,8
1232,2014-05-20,10,2014-06-10,3,10
1234,2014-05-20,10,NA,NA,NA
1235,2014-05-20,10,2014-06-03,1,10
1236,2014-05-20,10,2014-06-05,3,9
1237,2014-05-20,10,2014-06-10,NA,10
1238,2014-05-20,9,2014-06-10,NA,9
1239,2014-05-20,10,2014-06-11,3,10
1241,2014-05-20,0,NA,NA,NA
1242,2014-05-20,97,2014-06-04,2,97
1243,2014-05-20,0,2014-06-09,1,8
1245,2014-05-20,4,NA,NA,NA
1246,2014-05-20,3,NA,NA,NA
1247,2014-05-20,8,2014-06-05,2,5
1248,2014-05-21,97,2014-06-09,1,97
1249,2014-05-20,97,NA,NA,NA
1251,2014-05-20,9,2014-06-06,NA,9
1252,2014-05-20,9,2014-06-05,3,8
1253,2014-05-20,8,2014-06-10,2,8
1255,2014-05-20,9,2014-06-05,3,10
1256,2014-05-20,9,NA,NA,NA
1258,2014-05-20,97,2014-06-06,2,2
1259,2014-05-20,10,2014-06-03,3,10
1261,2014-05-20,0,NA,NA,NA
1263,2014-05-20,10,NA,NA,NA
1264,2014-05-20,10,2014-06-06,3,10
1266,2014-05-20,10,2014-06-05,3,10
1267,2014-05-20,9,2014-06-10,1,5
1268,2014-05-20,8,2014-06-04,1,5
1269,2014-05-20,4,2014-06-09,NA,7
1271,2014-05-20,9,2014-06-05,1,8
1272,2014-05-20,8,NA,NA,NA
1273,2014-05-21,0,2014-06-05,NA,0
1274,2014-05-21,97,2014-06-09,NA,97
1275,2014-05-21,0,2014-06-05,1,3
1276,2014-05-21,5,2014-06-09,NA,0
1278,2014-05-21,10,2014-06-04,NA,8
1279,2014-05-21,8,2014-06-03,1,97
1280,2014-05-21,3,2014-06-09,2,1
1281,2014-05-21,0,2014-06-06,1,0
1282,2014-05-21,6,2014-06-04,1,9
1283,2014-05-21,10,2014-06-09,3,10
1284,2014-05-21,7,2014-06-06,2,6
1285,2014-05-21,97,2014-06-11,NA,97
1286,2014-05-21,10,2014-06-05,3,10
1287,2014-05-21,10,2014-06-04,NA,10
1289,2014-05-21,1,NA,NA,NA
1290,2014-05-21,9,2014-06-05,3,10
1292,2014-05-21,10,NA,NA,NA
1293,2014-05-21,0,2014-06-09,2,0
1294,2014-05-21,98,2014-06-03,NA,4
1296,2014-05-21,6,NA,NA,NA
1297,2014-05-21,9,2014-06-09,NA,8
1298,2014-05-21,5,2014-06-04,NA,0
1299,2014-05-21,9,2014-06-03,NA,5
1300,2014-05-21,9,NA,NA,NA
1302,2014-05-21,8,2014-06-10,3,8
1303,2014-05-21,8,2014-06-04,3,8
1304,2014-05-21,10,NA,NA,NA
1305,2014-05-21,5,2014-06-05,NA,5
1306,2014-05-21,9,2014-06-03,NA,10
1307,2014-05-21,10,2014-06-04,3,8
1308,2014-05-21,5,2014-06-06,3,3
1309,2014-05-21,0,NA,NA,NA
1310,2014-05-21,7,2014-06-05,NA,8
1311,2014-05-21,97,2014-06-03,1,7
1312,2014-05-21,0,2014-06-04,2,0
1313,2014-05-21,10,2014-06-03,3,10
1314,2014-05-21,0,NA,NA,NA
1315,2014-05-21,10,2014-06-04,2,10
1316,2014-05-21,7,2014-06-09,NA,7
1317,2014-05-21,9,2014-06-10,3,8
1318,2014-05-21,10,2014-06-05,3,9
1320,2014-05-21,9,2014-06-05,3,10
1321,2014-05-21,7,2014-06-04,3,8
1322,2014-05-21,9,2014-06-05,1,8
1323,2014-05-21,0,2014-06-05,2,97
1324,2014-05-21,4,2014-06-06,1,3
1326,2014-05-21,8,2014-06-04,3,8
1328,2014-05-21,9,2014-06-05,3,9
1329,2014-05-21,5,NA,NA,NA
1330,2014-05-21,8,NA,NA,NA
1331,2014-05-21,9,2014-06-03,NA,10
1332,2014-05-21,10,2014-06-05,3,9
1333,2014-05-21,10,2014-06-09,3,10
1334,2014-05-21,5,NA,NA,NA
1335,2014-05-21,7,NA,NA,NA
1336,2014-05-21,97,NA,NA,NA
1337,2014-05-21,97,2014-06-10,NA,6
1338,2014-05-21,8,NA,NA,NA
1339,2014-05-21,0,NA,NA,NA
1340,2014-05-21,9,NA,NA,NA
1341,2014-05-21,8,2014-06-10,3,10
1342,2014-05-21,10,2014-06-05,2,10
1343,2014-05-21,97,NA,NA,NA
1344,2014-05-21,9,NA,NA,NA
1345,2014-05-21,0,2014-06-05,NA,0
1346,2014-05-21,7,NA,NA,NA
1347,2014-05-21,10,2014-06-09,1,97
1348,2014-05-21,5,2014-06-10,NA,5
1350,2014-05-21,97,2014-06-05,NA,97
1351,2014-05-21,10,2014-06-03,1,8
1352,2014-05-21,8,2014-06-05,1,97
1353,2014-05-21,9,2014-06-03,3,9
1354,2014-05-21,8,2014-06-04,1,8
1355,2014-05-21,3,2014-06-09,1,2
1356,2014-05-21,7,2014-06-03,NA,8
1358,2014-05-21,10,2014-06-04,NA,10
1359,2014-05-21,10,NA,NA,NA
1360,2014-05-21,10,NA,NA,NA
1362,2014-05-21,9,NA,NA,NA
1363,2014-05-21,10,2014-06-05,2,10
1364,2014-05-21,97,NA,NA,NA
1366,2014-05-21,5,NA,NA,NA
1367,2014-05-21,10,NA,NA,NA
1368,2014-05-21,10,2014-06-02,2,9
1369,2014-05-21,10,NA,NA,NA
1370,2014-05-21,9,2014-06-03,3,10
1371,2014-05-21,97,NA,NA,NA
1372,2014-05-21,10,2014-06-06,3,10
1373,2014-05-21,3,2014-06-10,1,5
1374,2014-05-21,9,2014-06-04,1,9
1375,2014-05-21,0,2014-06-09,NA,4
1376,2014-05-21,0,2014-06-05,NA,0
1377,2014-05-21,10,2014-06-06,3,8
1378,2014-05-21,10,NA,NA,NA
1379,2014-05-21,10,NA,NA,NA
1380,2014-05-21,5,NA,NA,NA
1381,2014-05-21,8,2014-06-04,3,10
1382,2014-05-21,10,2014-06-06,NA,9
1384,2014-05-21,10,2014-06-03,NA,9
1385,2014-05-21,97,2014-06-05,3,8
1386,2014-05-21,8,2014-06-05,NA,7
1387,2014-05-21,6,2014-06-09,NA,5
1388,2014-05-21,10,2014-06-06,NA,10
1389,2014-05-21,10,NA,NA,NA
1390,2014-05-21,9,2014-06-04,3,9
1391,2014-05-22,9,NA,NA,NA
1392,2014-05-22,97,2014-06-03,1,97
1393,2014-05-22,10,2014-06-05,NA,9
1394,2014-05-22,8,2014-06-04,1,8
1395,2014-05-22,8,NA,NA,NA
1396,2014-05-22,7,2014-06-04,1,4
1397,2014-05-22,7,2014-06-06,NA,5
1398,2014-05-22,0,NA,NA,NA
1399,2014-05-22,9,NA,NA,NA
1400,2014-05-22,10,2014-06-05,3,10
1401,2014-05-22,0,2014-06-05,NA,97
1402,2014-05-22,10,2014-06-05,2,8
1403,2014-05-22,0,2014-06-04,2,97
1404,2014-05-22,8,2014-06-04,3,8
1405,2014-05-22,9,2014-06-05,3,9
1406,2014-05-22,97,2014-06-06,NA,10
1407,2014-05-22,8,2014-06-10,3,9
1408,2014-05-22,5,2014-06-09,1,97
1409,2014-05-22,9,2014-06-03,1,8
1410,2014-05-22,9,2014-06-03,1,9
1412,2014-05-22,10,2014-06-05,NA,10
1413,2014-05-22,97,2014-06-05,1,97
1414,2014-05-22,6,2014-06-04,1,6
1415,2014-05-22,9,2014-06-10,NA,6
1416,2014-05-22,97,NA,NA,NA
1417,2014-05-22,10,2014-06-03,1,8
1418,2014-05-22,0,2014-06-04,1,0
1419,2014-05-22,97,2014-06-04,2,3
1420,2014-05-22,10,2014-06-05,NA,10
1422,2014-05-22,9,2014-06-05,3,9
1423,2014-05-22,8,NA,NA,NA
1424,2014-05-22,0,2014-06-02,NA,3
1425,2014-05-22,7,2014-06-04,1,7
1426,2014-05-22,10,NA,NA,NA
1427,2014-05-22,8,2014-06-03,3,9
1428,2014-05-22,10,2014-06-10,3,10
1429,2014-05-22,10,2014-06-03,2,6
1431,2014-05-22,4,2014-06-04,NA,97
1432,2014-05-22,8,2014-06-03,NA,10
1433,2014-05-22,7,2014-06-09,3,8
1434,2014-05-22,8,NA,NA,NA
1436,2014-05-22,9,2014-06-03,1,9
1437,2014-05-22,2,2014-06-09,NA,7
1438,2014-05-22,10,2014-06-04,3,8
1439,2014-05-22,0,2014-06-09,1,97
1440,2014-05-22,0,2014-06-05,NA,0
1441,2014-05-22,97,2014-06-10,NA,7
1442,2014-05-22,97,2014-06-09,2,97
1443,2014-05-22,0,2014-06-03,1,0
1444,2014-05-22,10,2014-06-03,3,9
1445,2014-05-22,9,2014-06-09,1,3
1446,2014-05-22,10,2014-06-05,NA,9
1447,2014-05-22,5,2014-06-06,NA,8
1448,2014-05-22,9,2014-06-03,3,7
1449,2014-05-22,10,2014-06-09,3,9
1450,2014-05-22,7,2014-06-06,NA,6
1451,2014-05-22,0,NA,NA,NA
1452,2014-05-22,8,2014-06-04,1,8
1453,2014-05-22,4,2014-06-05,NA,0
1454,2014-05-22,97,2014-06-03,1,0
1455,2014-05-22,6,2014-06-09,1,6
1456,2014-05-22,0,2014-06-06,NA,0
1457,2014-05-22,10,2014-06-02,3,8
1458,2014-05-22,0,2014-06-05,NA,0
1459,2014-05-22,97,NA,NA,NA
1460,2014-05-22,0,2014-06-06,2,5
1461,2014-05-22,97,NA,NA,NA
1462,2014-05-22,4,2014-06-04,NA,4
1463,2014-05-22,98,2014-06-04,1,97
1464,2014-05-22,0,2014-06-03,1,3
1466,2014-05-22,8,2014-06-03,1,9
1467,2014-05-22,9,2014-06-09,2,9
1468,2014-05-22,10,2014-06-03,3,9
1469,2014-05-22,0,2014-06-04,1,0
1472,2014-05-22,8,2014-06-05,1,9
1473,2014-05-22,9,2014-06-10,NA,8
1474,2014-05-22,5,NA,NA,NA
1475,2014-05-22,9,2014-06-05,NA,9
1476,2014-05-22,10,2014-06-06,3,10
1477,2014-05-22,9,NA,NA,NA
1478,2014-05-22,0,2014-06-04,1,9
1479,2014-05-22,9,NA,NA,NA
1481,2014-05-22,8,2014-06-05,3,8
1483,2014-05-22,97,2014-06-04,NA,4
1484,2014-05-22,8,2014-06-04,3,8
1485,2014-05-22,10,2014-06-09,3,9
1486,2014-05-22,10,2014-06-10,3,8
1487,2014-05-22,10,2014-06-09,3,10
1488,2014-05-22,8,NA,NA,NA
1489,2014-05-22,0,2014-06-03,NA,7
1490,2014-05-22,5,2014-06-10,1,3
1491,2014-05-22,10,2014-06-04,3,10
1492,2014-05-22,0,2014-06-03,1,0
1493,2014-05-22,4,2014-06-06,NA,4
1494,2014-05-22,97,2014-06-09,NA,5
1495,2014-05-22,0,2014-06-06,1,97
1496,2014-05-23,9,2014-06-09,1,10
1497,2014-05-22,9,NA,NA,NA
1498,2014-05-22,0,2014-06-06,2,1
1500,2014-05-22,1,2014-06-09,1,8
1501,2014-05-22,10,NA,NA,NA
1502,2014-05-22,10,2014-06-04,1,9
1503,2014-05-22,10,2014-06-10,NA,7
1504,2014-05-22,9,2014-06-09,3,9
1505,2014-05-22,6,2014-06-05,NA,3
1506,2014-05-22,9,2014-06-05,3,10
1507,2014-05-22,8,NA,NA,NA
1508,2014-05-22,5,NA,NA,NA
1509,2014-05-22,97,2014-06-03,1,97
1510,2014-05-22,97,2014-06-10,2,97
1511,2014-05-23,10,2014-06-03,NA,10
1512,2014-05-23,97,NA,NA,NA
1513,2014-05-23,0,2014-06-10,3,10
1514,2014-05-23,4,2014-06-10,NA,6
1515,2014-05-23,10,2014-06-09,NA,7
1516,2014-05-23,10,2014-06-10,1,9
1517,2014-05-23,5,NA,NA,NA
1518,2014-05-23,10,2014-06-09,3,10
1519,2014-05-23,9,2014-06-05,1,9
1520,2014-05-23,8,2014-06-11,3,9
1521,2014-05-23,7,2014-06-10,2,8
1522,2014-05-23,7,2014-06-09,1,7
1523,2014-05-23,9,2014-06-06,3,8
1524,2014-05-23,3,2014-06-04,1,0
1525,2014-05-23,1,NA,NA,NA
1526,2014-05-23,4,2014-06-06,3,7
1527,2014-05-23,10,2014-06-05,3,10
1528,2014-05-23,97,2014-06-09,1,97
1529,2014-05-23,10,2014-06-09,1,10
1530,2014-05-23,0,NA,NA,NA
1531,2014-05-23,10,2014-06-02,3,9
1532,2014-05-23,10,2014-06-04,3,10
1533,2014-05-23,10,NA,NA,NA
1534,2014-05-23,5,2014-06-06,1,7
1535,2014-05-23,9,2014-06-10,3,9
1536,2014-05-23,7,2014-06-10,1,5
1537,2014-05-23,5,2014-06-03,NA,0
1538,2014-05-23,7,NA,NA,NA
1539,2014-05-23,5,2014-06-11,NA,7
1540,2014-05-23,10,2014-06-04,1,10
1541,2014-05-23,10,2014-06-03,3,10
1542,2014-05-23,6,2014-06-09,1,5
1543,2014-05-23,5,2014-06-05,NA,7
1544,2014-05-23,97,2014-06-09,NA,7
1546,2014-05-23,10,NA,NA,NA
1547,2014-05-23,9,NA,NA,NA
1549,2014-05-23,1,2014-06-09,NA,3
1551,2014-05-23,0,2014-06-02,1,5
1552,2014-05-23,97,2014-06-05,1,0
1553,2014-05-23,10,2014-06-05,NA,9
1554,2014-05-23,10,2014-06-09,NA,10
1555,2014-05-23,8,2014-06-10,3,8
1556,2014-05-23,10,2014-06-03,3,10
1557,2014-05-23,97,NA,NA,NA
1559,2014-05-23,0,NA,NA,NA
1560,2014-05-23,2,2014-06-04,2,3
1561,2014-05-23,8,2014-06-03,NA,8
1562,2014-05-23,5,2014-06-03,2,97
1563,2014-05-23,5,NA,NA,NA
1565,2014-05-23,1,NA,NA,NA
1567,2014-05-23,97,2014-06-04,NA,97
1568,2014-05-23,2,2014-06-04,NA,0
1569,2014-05-23,10,NA,NA,NA
1570,2014-05-23,10,2014-06-09,2,97
1571,2014-05-23,10,2014-06-10,NA,10
1573,2014-05-23,10,2014-06-03,2,10
1574,2014-05-23,9,2014-06-04,3,8
1575,2014-05-23,8,2014-06-03,NA,8
1576,2014-05-23,97,2014-06-03,NA,97
1577,2014-05-23,97,2014-06-03,2,97
