party;support;support_emor;last;year;month;gov;month_cycle;cycle_constant;cycle;inflats_m_basevalue;inflats_m;unemp;gdpgr;gdpgr_yearly;skp_yearly;support_lag1;bruto;bruto_yearly;inflats_prevyear_base;alko_suits_base;alko_suits_prevyear;eluase_base;eluase_prevyear;irl_meedias;kesk_meedias;ekre_meedias;ref_meedias;sde_meedias;rohel_meedias
ref;0,38;;0,278;2010;9;1;43;49;0,87755102;128,21;0,778179532;15,4;1,5;5,1;5;0,39;758,88691;0,9;123,52;148,39;137,13;157,75;149,75;642;802;304;649;617;161
ref;0,41;;0,278;2010;10;1;44;49;0,897959184;128,92;0,553778956;13,6;2,5;7,7;6,3;0,38;813,91484;3,9;123,42;149,26;138,96;157,38;149,53;489;840;238;704;668;119
ref;0,43;;0,278;2010;11;1;45;49;0,918367347;129,32;0,310269935;13,6;2,5;7,7;6,3;0,41;813,91484;3,9;123,11;148,74;139,17;158,14;148,97;594;927;314;920;463;244
ref;0,36;;0,278;2010;12;1;46;49;0,93877551;129,94;0,479430869;13,6;2,5;7,7;6,3;0,43;813,91484;3,9;123,26;148,33;138,78;158,93;148,6;585;1328;209;753;517;201
ref;0,36;;0,278;2011;1;1;47;49;0,959183673;129,91;-0,023087579;14,3;2,4;9;9;0,36;792,34;4,5;123,61;148,56;141,18;157,85;150,26;862;1182;415;1015;743;401
ref;0,28;;0,278;2011;2;1;48;49;0,979591837;130,78;0,669694404;14,3;2,4;9;9;0,36;792,34;4,5;123,93;148,97;141,21;158,1;150,46;903;1050;384;1035;685;462
ref;;;0,29;2011;3;1;49;49;1;131,84;0,810521486;14,3;2,4;9;9;0,28;792,34;4,5;125,46;152,69;141,32;158,29;152,36;1420;1288;385;1658;994;427
ref;0,31;;0,29;2011;4;1;1;49;0,020408163;132,9;0,804004854;13;1,7;8,4;8,1;;857,07;4,2;126,09;153,62;142,8;159,27;152,98;566;691;91;667;415;122
ref;0,33;;0,29;2011;5;1;2;49;0,040816327;133,42;0,391271633;13;1,7;8,4;8,1;0,31;857,07;4,2;126,45;154,65;142,29;160,65;154,24;427;566;103;520;333;60
ref;0,33;;0,29;2011;6;1;3;49;0,06122449;133,22;-0,149902563;13;1,7;8,4;8,1;0,33;857,07;4,2;126,95;154,17;142,92;162,55;155,23;600;786;70;629;358;48
ref;0,31;;0,29;2011;7;1;4;49;0,081632653;133,96;0,555472151;10,7;2;8,8;9,9;0,33;808,85;6,6;127,26;156,54;143,97;163,7;155,54;552;615;56;415;266;38
ref;0,29;;0,29;2011;8;1;5;49;0,102040816;134,33;0,276201851;10,7;2;8,8;9,9;0,31;808,85;6,6;127,22;155,05;145,03;168,27;156,54;520;998;101;556;400;52
ref;0,31;;0,29;2011;9;1;6;49;0,12244898;135,08;0,558326509;10,7;2;8,8;9,9;0,29;808,85;6,6;128,21;155,84;148,39;169,61;157,75;567;659;57;547;402;54
ref;0,32;;0,29;2011;10;1;7;49;0,142857143;134,97;-0,081433225;11,3;0,7;6,9;6,2;0,31;865,15;6,3;128,92;155,53;149,26;171,38;157,38;591;497;29;577;371;24
